Casual,Date,Member,Total_rides,apparent_temperature_mean (°C),temperature_2m_mean (°C),weathercode (wmo code),windspeed_10m_max (km/h)
382,2021-02-02,1069,1451,-5.1,0.5,71,23.7
684,2021-02-03,1792,2476,-5.0,0.9,3,26.3
863,2021-02-04,2311,3174,-4.5,0.3,3,20.8
1400,2021-02-05,2849,4249,0.9,5.3,55,18.6
2149,2021-02-06,3263,5412,-1.3,3.0,3,22.3
757,2021-02-07,1532,2289,-1.6,2.1,75,17.4
844,2021-02-08,2048,2892,-8.5,-3.9,1,11.4
920,2021-02-09,2642,3562,-0.6,2.8,3,11.4
569,2021-02-10,1793,2362,-1.9,1.6,75,10.8
566,2021-02-11,1675,2241,-2.8,0.7,75,12.0
828,2021-02-12,2201,3029,-5.9,-1.8,71,11.0
236,2021-02-13,649,885,-6.2,-1.9,73,12.5
829,2021-02-14,1535,2364,-3.5,0.0,3,8.7
777,2021-02-15,1943,2720,-1.9,1.4,53,13.7
722,2021-02-16,2127,2849,-0.0,3.7,63,23.5
557,2021-02-17,1392,1949,-6.8,-1.9,1,20.5
217,2021-02-18,527,744,-5.9,-1.7,75,15.1
524,2021-02-19,1521,2045,-4.0,0.0,73,15.5
796,2021-02-20,1849,2645,-8.3,-2.5,3,23.4
919,2021-02-21,2053,2972,-7.1,-2.8,2,15.9
334,2021-02-22,1214,1548,-3.5,0.7,73,16.2
957,2021-02-23,2363,3320,-0.1,4.2,51,25.8
1733,2021-02-24,3449,5182,4.2,8.1,1,20.4
1290,2021-02-25,2891,4181,3.5,7.5,1,21.4
1230,2021-02-26,2543,3773,0.9,4.7,71,12.8
2130,2021-02-27,2949,5079,4.3,6.6,73,12.5
371,2021-02-28,768,1139,4.6,6.7,63,15.5
753,2021-03-01,1750,2503,5.2,8.4,63,27.8
1014,2021-03-02,2459,3473,-2.7,2.3,0,20.6
1615,2021-03-03,3256,4871,1.3,5.2,0,12.6
1107,2021-03-04,2709,3816,1.2,6.1,3,24.2
1048,2021-03-05,2586,3634,-4.3,1.6,2,27.8
2323,2021-03-06,2869,5192,-3.0,2.1,3,21.2
